Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.915846,0.921792,0.457578,0.918809,67,360,40298468,32959293.000000,0.000000,8330,.,.,5679.000000,2315.000000,,2.45313174946,7629,.,.,5145.000000,2206.000000,,2.33227561197,701,.,.,534.000000,109.000000,,4.89908256881,15558,.,.,11698.000000,3456.000000,,3.38483796296,7779,.,.,5497.000000,2192.000000,,2.50775547445,660,.,.,607.000000,40.000000,,15.175,7119,.,.,5594.000000,1224.000000,,4.57026143791
INDEL,*,*,PASS,*,QUAL,*,0.905882,0.95131,0.394402,0.928041,19,269,40298468,32959293.000000,0.000000,8330,.,.,5679.000000,2315.000000,,2.45313174946,7546,.,.,5082.000000,2200.000000,,2.31,784,.,.,597.000000,115.000000,,5.19130434783,13362,.,.,9671.000000,3413.000000,,2.8335774978,7698,.,.,5421.000000,2192.000000,,2.47308394161,394,.,.,347.000000,40.000000,,8.675,5270,.,.,3903.000000,1181.000000,,3.30482641829
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.517787,0.630673,0.709281,0.568682,12,148,3036641434.000000,32959293.000000,0.000000,759,.,.,579.000000,125.000000,,4.632,393,.,.,272.000000,93.000000,,2.9247311828,366,.,.,307.000000,32.000000,,9.59375,2198,.,.,1806.000000,319.000000,,5.66144200627,403,.,.,318.000000,82.000000,,3.87804878049,236,.,.,221.000000,9.000000,,24.5555555556,1559,.,.,1267.000000,228.000000,,5.55701754386
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.487484,0.734733,0.697634,0.586099,7,106,3036641434.000000,32959293.000000,0.000000,759,.,.,579.000000,125.000000,,4.632,370,.,.,259.000000,87.000000,,2.97701149425,389,.,.,320.000000,38.000000,,8.42105263158,1733,.,.,1370.000000,310.000000,,4.41935483871,385,.,.,301.000000,82.000000,,3.67073170732,139,.,.,127.000000,9.000000,,14.1111111111,1209,.,.,942.000000,219.000000,,4.30136986301
INDEL,*,TS_contained,ALL,*,QUAL,*,0.955752,0.945641,0.0,0.95067,55,212,32959293.000000,32959293.000000,0.000000,7571,.,.,5100.000000,2190.000000,,2.32876712329,7236,.,.,4873.000000,2113.000000,,2.30619971604,335,.,.,227.000000,77.000000,,2.94805194805,7800,.,.,5565.000000,2141.000000,,2.59925268566,7376,.,.,5179.000000,2110.000000,,2.45450236967,424,.,.,386.000000,31.000000,,12.4516129032,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.947827,0.966305,0.0,0.956977,12,163,32959293.000000,32959293.000000,0.000000,7571,.,.,5100.000000,2190.000000,,2.32876712329,7176,.,.,4823.000000,2113.000000,,2.28253667771,395,.,.,277.000000,77.000000,,3.5974025974,7568,.,.,5340.000000,2141.000000,,2.49416160673,7313,.,.,5120.000000,2110.000000,,2.42654028436,255,.,.,220.000000,31.000000,,7.09677419355,0,.,.,0.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,7153.000000,7053.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,7153.000000,7053.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87_NF2,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,7153.000000,7053.000000,1.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87_NF2,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,7153.000000,7053.000000,1.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
