Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.853902,0.635368,0.474283,0.728601,188,1402,40298468,32959293.000000,0.000000,8330,.,.,5679.000000,2315.000000,,2.45313174946,7113,.,.,4922.000000,1940.000000,,2.53711340206,1217,.,.,757.000000,375.000000,,2.01866666667,21717,.,.,17984.000000,2497.000000,,7.20224269123,7254,.,.,5237.000000,1932.000000,,2.71066252588,4163,.,.,3864.000000,30.000000,,128.8,10300,.,.,8883.000000,535.000000,,16.6037383178
INDEL,*,*,PASS,*,QUAL,*,0.82545,0.928988,0.348299,0.874164,25,284,40298468,32959293.000000,0.000000,8330,.,.,5679.000000,2315.000000,,2.45313174946,6876,.,.,4719.000000,1930.000000,,2.44507772021,1454,.,.,960.000000,385.000000,,2.49350649351,11582,.,.,8944.000000,2447.000000,,3.65508786269,7012,.,.,5018.000000,1924.000000,,2.60810810811,536,.,.,497.000000,30.000000,,16.5666666667,4034,.,.,3429.000000,493.000000,,6.95537525355
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.547847,0.389535,0.664156,0.455322,20,233,3036641434.000000,32959293.000000,0.000000,836,.,.,631.000000,148.000000,,4.26351351351,458,.,.,330.000000,103.000000,,3.20388349515,378,.,.,301.000000,45.000000,,6.68888888889,3585,.,.,3133.000000,212.000000,,14.7783018868,469,.,.,369.000000,97.000000,,3.80412371134,735,.,.,678.000000,12.000000,,56.5,2381,.,.,2086.000000,103.000000,,20.2524271845
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.489234,0.728374,0.629962,0.585321,8,109,3036641434.000000,32959293.000000,0.000000,836,.,.,631.000000,148.000000,,4.26351351351,409,.,.,286.000000,101.000000,,2.83168316832,427,.,.,345.000000,47.000000,,7.34042553191,1562,.,.,1318.000000,208.000000,,6.33653846154,421,.,.,321.000000,97.000000,,3.30927835052,157,.,.,142.000000,12.000000,,11.8333333333,984,.,.,855.000000,99.000000,,8.63636363636
INDEL,*,TS_contained,ALL,*,QUAL,*,0.888044,0.664349,0.0,0.76008,168,1169,32959293.000000,32959293.000000,0.000000,7494,.,.,5048.000000,2167.000000,,2.32948777111,6655,.,.,4592.000000,1837.000000,,2.49972781709,839,.,.,456.000000,330.000000,,1.38181818182,10213,.,.,8054.000000,1853.000000,,4.34646519158,6785,.,.,4868.000000,1835.000000,,2.65286103542,3428,.,.,3186.000000,18.000000,,177.0,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.862957,0.945624,0.0,0.902401,17,175,32959293.000000,32959293.000000,0.000000,7494,.,.,5048.000000,2167.000000,,2.32948777111,6467,.,.,4433.000000,1829.000000,,2.42372881356,1027,.,.,615.000000,338.000000,,1.81952662722,6970,.,.,5052.000000,1845.000000,,2.73821138211,6591,.,.,4697.000000,1827.000000,,2.57088122605,379,.,.,355.000000,18.000000,,19.7222222222,0,.,.,0.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87,ALL,*,QUAL,*,1.0,1.0,0.666667,1.0,0,0,7153.000000,7053.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3,.,.,3.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,7153.000000,7053.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87_NF2,ALL,*,QUAL,*,1.0,1.0,0.666667,1.0,0,0,7153.000000,7053.000000,1.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3,.,.,3.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87_NF2,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,7153.000000,7053.000000,1.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,high.at,ALL,*,QUAL,*,0.826481,0.615183,0.512755,0.705348,41,292,4222773.000000,3378999.000000,0.000000,1654,.,.,1120.000000,434.000000,,2.58064516129,1367,.,.,949.000000,349.000000,,2.71919770774,287,.,.,171.000000,85.000000,,2.01176470588,4704,.,.,3939.000000,483.000000,,8.15527950311,1410,.,.,1039.000000,347.000000,,2.99423631124,882,.,.,817.000000,8.000000,,102.125,2412,.,.,2083.000000,128.000000,,16.2734375
INDEL,*,high.at,PASS,*,QUAL,*,0.788392,0.908907,0.385827,0.844371,5,74,4222773.000000,3378999.000000,0.000000,1654,.,.,1120.000000,434.000000,,2.58064516129,1304,.,.,894.000000,344.000000,,2.5988372093,350,.,.,226.000000,90.000000,,2.51111111111,2413,.,.,1900.000000,471.000000,,4.03397027601,1347,.,.,981.000000,344.000000,,2.85174418605,135,.,.,125.000000,8.000000,,15.625,931,.,.,794.000000,119.000000,,6.67226890756
INDEL,*,high.gc,ALL,*,QUAL,*,0.912409,0.832215,0.541538,0.870469,1,15,687864.000000,542382.000000,0.000000,137,.,.,80.000000,52.000000,,1.53846153846,125,.,.,71.000000,51.000000,,1.39215686275,12,.,.,9.000000,1.000000,,9.0,325,.,.,243.000000,72.000000,,3.375,124,.,.,71.000000,51.000000,,1.39215686275,25,.,.,23.000000,1.000000,,23.0,176,.,.,149.000000,20.000000,,7.45
INDEL,*,high.gc,PASS,*,QUAL,*,0.905109,0.931818,0.423581,0.91827,0,8,687864.000000,542382.000000,0.000000,137,.,.,80.000000,52.000000,,1.53846153846,124,.,.,70.000000,51.000000,,1.37254901961,13,.,.,10.000000,1.000000,,10.0,229,.,.,155.000000,70.000000,,2.21428571429,123,.,.,70.000000,51.000000,,1.37254901961,9,.,.,8.000000,1.000000,,8.0,97,.,.,77.000000,18.000000,,4.27777777778
