i,qa,qs,qn,x,n,expected_rho,subset_qa_qs_qn_x_n,replicate_id,successes,observed_rho
1,0.4279,0.4383,0.1338,0.2738,6390,0.5479,S1_0.4279_0.4383_0.1338_0.2738_6390,R1,3530,0.5524
1,0.4279,0.4383,0.1338,0.2738,6390,0.5479,S1_0.4279_0.4383_0.1338_0.2738_6390,R2,3533,0.5529
1,0.4279,0.4383,0.1338,0.2738,6390,0.5479,S1_0.4279_0.4383_0.1338_0.2738_6390,R3,3513,0.5498
1,0.4279,0.4383,0.1338,0.2738,6390,0.5479,S1_0.4279_0.4383_0.1338_0.2738_6390,R4,3475,0.5438
1,0.4279,0.4383,0.1338,0.2738,6390,0.5479,S1_0.4279_0.4383_0.1338_0.2738_6390,R5,3475,0.5438
2,0.417,0.3223,0.2607,0.9442,9721,0.7213,S2_0.417_0.3223_0.2607_0.9442_9721,R1,7057,0.726
2,0.417,0.3223,0.2607,0.9442,9721,0.7213,S2_0.417_0.3223_0.2607_0.9442_9721,R2,7103,0.7307
2,0.417,0.3223,0.2607,0.9442,9721,0.7213,S2_0.417_0.3223_0.2607_0.9442_9721,R3,7076,0.7279
2,0.417,0.3223,0.2607,0.9442,9721,0.7213,S2_0.417_0.3223_0.2607_0.9442_9721,R4,7069,0.7272
2,0.417,0.3223,0.2607,0.9442,9721,0.7213,S2_0.417_0.3223_0.2607_0.9442_9721,R5,7049,0.7251
3,0.482,0.0881,0.4299,0.446,4515,0.5213,S3_0.482_0.0881_0.4299_0.446_4515,R1,2406,0.5329
3,0.482,0.0881,0.4299,0.446,4515,0.5213,S3_0.482_0.0881_0.4299_0.446_4515,R2,2401,0.5318
3,0.482,0.0881,0.4299,0.446,4515,0.5213,S3_0.482_0.0881_0.4299_0.446_4515,R3,2375,0.526
3,0.482,0.0881,0.4299,0.446,4515,0.5213,S3_0.482_0.0881_0.4299_0.446_4515,R4,2391,0.5296
3,0.482,0.0881,0.4299,0.446,4515,0.5213,S3_0.482_0.0881_0.4299_0.446_4515,R5,2381,0.5274
4,0.3747,0.2432,0.3821,0.5418000000000001,8676,0.5065,S4_0.3747_0.2432_0.3821_0.5418_8676,R1,4380,0.5048
4,0.3747,0.2432,0.3821,0.5418000000000001,8676,0.5065,S4_0.3747_0.2432_0.3821_0.5418_8676,R2,4325,0.4985
4,0.3747,0.2432,0.3821,0.5418000000000001,8676,0.5065,S4_0.3747_0.2432_0.3821_0.5418_8676,R3,4361,0.5027
4,0.3747,0.2432,0.3821,0.5418000000000001,8676,0.5065,S4_0.3747_0.2432_0.3821_0.5418_8676,R4,4364,0.503
4,0.3747,0.2432,0.3821,0.5418000000000001,8676,0.5065,S4_0.3747_0.2432_0.3821_0.5418_8676,R5,4366,0.5032
5,0.5656,0.1546,0.2798,0.1617,1380,0.5906,S5_0.5656_0.1546_0.2798_0.1617_1380,R1,825,0.5978
5,0.5656,0.1546,0.2798,0.1617,1380,0.5906,S5_0.5656_0.1546_0.2798_0.1617_1380,R2,828,0.6
5,0.5656,0.1546,0.2798,0.1617,1380,0.5906,S5_0.5656_0.1546_0.2798_0.1617_1380,R3,815,0.5906
5,0.5656,0.1546,0.2798,0.1617,1380,0.5906,S5_0.5656_0.1546_0.2798_0.1617_1380,R4,826,0.5986
5,0.5656,0.1546,0.2798,0.1617,1380,0.5906,S5_0.5656_0.1546_0.2798_0.1617_1380,R5,827,0.5993
6,0.4618,0.4805,0.0577,0.6931,4822,0.7948,S6_0.4618_0.4805_0.0577_0.6931_4822,R1,3792,0.7864
6,0.4618,0.4805,0.0577,0.6931,4822,0.7948,S6_0.4618_0.4805_0.0577_0.6931_4822,R2,3831,0.7945
6,0.4618,0.4805,0.0577,0.6931,4822,0.7948,S6_0.4618_0.4805_0.0577_0.6931_4822,R3,3833,0.7949
6,0.4618,0.4805,0.0577,0.6931,4822,0.7948,S6_0.4618_0.4805_0.0577_0.6931_4822,R4,3826,0.7934
6,0.4618,0.4805,0.0577,0.6931,4822,0.7948,S6_0.4618_0.4805_0.0577_0.6931_4822,R5,3784,0.7847
7,0.2449,0.2889,0.4661,0.7973,1201,0.4752,S7_0.2449_0.2889_0.4661_0.7973_1201,R1,566,0.4713
7,0.2449,0.2889,0.4661,0.7973,1201,0.4752,S7_0.2449_0.2889_0.4661_0.7973_1201,R2,557,0.4638
7,0.2449,0.2889,0.4661,0.7973,1201,0.4752,S7_0.2449_0.2889_0.4661_0.7973_1201,R3,559,0.4654
7,0.2449,0.2889,0.4661,0.7973,1201,0.4752,S7_0.2449_0.2889_0.4661_0.7973_1201,R4,558,0.4646
7,0.2449,0.2889,0.4661,0.7973,1201,0.4752,S7_0.2449_0.2889_0.4661_0.7973_1201,R5,568,0.4729
8,0.0669,0.4767,0.4564,0.7736000000000001,1288,0.4357,S8_0.0669_0.4767_0.4564_0.7736_1288,R1,542,0.4208
8,0.0669,0.4767,0.4564,0.7736000000000001,1288,0.4357,S8_0.0669_0.4767_0.4564_0.7736_1288,R2,563,0.4371
8,0.0669,0.4767,0.4564,0.7736000000000001,1288,0.4357,S8_0.0669_0.4767_0.4564_0.7736_1288,R3,566,0.4394
