i,subset,qa,qs,qn,x,n,n.obs,prior.mean,obs.min,obs.max,posterior.mean,posterior.hdi.low,posterior.hdi.high,obs.range,hdi.range
1,S1,0.4279,0.4383,0.1338,0.2738,6390,5,0.5485446009389672,0.5438184663536776,0.5528951486697966,0.5486336405643659,0.5407758090419742,0.5566527585063742,0.009076682316119022,0.015876949464399992
2,S10,0.4138,0.2042,0.382,0.2036,9486,5,0.45098039215686275,0.4493991144845035,0.45277250685220327,0.4510419182131868,0.44471572767719236,0.4577066707547436,0.00337339236769979,0.01299094307755122
3,S100,0.7722,0.1862,0.0416,0.7413,5834,5,0.9133699005827906,0.9098388755570792,0.9163524168666438,0.9133570592592583,0.9026410222412026,0.9249582949820139,0.006513541309564608,0.0223172727408113
4,S1000,0.4659,0.0687,0.4654,0.3542,1484,5,0.4830188679245283,0.4784366576819407,0.488544474393531,0.4831995281523714,0.4678303971514348,0.4995107001903061,0.010107816711590278,0.03168030303887126
5,S101,0.4893,0.4496,0.0611,0.7825,7549,5,0.8374354219101868,0.8328255398065969,0.8452775202013512,0.8374328558441004,0.8278345697890819,0.8464543508094208,0.012451980394754258,0.0186197810203389
6,S102,0.1533,0.4111,0.4356,0.2131,3852,5,0.24164070612668742,0.23909657320872274,0.24532710280373832,0.2417082857636909,0.23500735897795644,0.248658577240217,0.006230529595015577,0.013651218262260567
7,S103,0.4503,0.1824,0.3673,0.518,8479,5,0.5445453473286944,0.53992216063215,0.5469984668003303,0.5444858339788695,0.5368376990870546,0.5515183130751423,0.007076306168180224,0.014680613988087732
8,S104,0.2202,0.0773,0.7025,0.1917,6951,5,0.24059847503956266,0.24010933678607393,0.24111638613149186,0.2406475364812095,0.2349937453365315,0.2456506345441707,0.0010070493454179263,0.010656889207639186
9,S105,0.6198,0.1161,0.2641,0.4568,2904,5,0.6630165289256199,0.6601239669421488,0.6673553719008265,0.663356808206794,0.6504256566399838,0.6767997179117542,0.00723140495867769,0.026374061271770444
10,S106,0.4948,0.1578,0.3474,0.5266,4132,5,0.579622458857696,0.5730880929332043,0.5871248789932236,0.5797227177192427,0.5698198920837675,0.5904640733626771,0.014036786060019346,0.020644181278909657
